Country,Bond_Type,Type_of_Issuer,Use_of_Proceed,Principal_Currency,Year,Bond_Amount_USD
United Kingdom,Social Bond,Not Applicable,Not Applicable,Not Applicable,2006,2.0
World,Social Bond,Not Applicable,Not Applicable,Not Applicable,2006,2.0
World,Social Bond,International Organization,Not Applicable,Not Applicable,2006,2.0
World,Social Bond,Not Applicable,Not Applicable,Not Applicable,2006,2.0
Luxembourg,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2007,0.627477227
World,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2007,0.627477227
World,Green Bonds,International Organization,Not Applicable,Not Applicable,2007,0.627477227
World,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2007,0.627477227
World,Social Bond,Not Applicable,Not Applicable,Not Applicable,2007,2.0
France,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2008,0.052874803
Germany,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2008,0.104579537
United Kingdom,Social Bond,Not Applicable,Not Applicable,Not Applicable,2008,0.095198096
United States,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2008,0.343569012
World,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2008,0.448148549
World,Green Bonds,International Organization,Not Applicable,Not Applicable,2008,0.343569012
World,Green Bonds,State owned entities,Not Applicable,Not Applicable,2008,0.104579537
World,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2008,1.075625776
World,,Not Applicable,Not Applicable,Not Applicable,2008,50.0
World,Social Bond,Not Applicable,Not Applicable,Not Applicable,2008,0.095198096
World,Social Bond,International Organization,Not Applicable,Not Applicable,2008,0.095198096
World,Social Bond,Not Applicable,Not Applicable,Not Applicable,2008,2.095198096
World,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2008,0.052874803
World,Sustainability Bond,Local and state Government,Not Applicable,Not Applicable,2008,0.052874803
World,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2008,0.052874803
Luxembourg,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2009,0.277563462
United Kingdom,Social Bond,Not Applicable,Not Applicable,Not Applicable,2009,0.721791942
United States,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2009,0.61
World,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2009,0.887563462
World,Green Bonds,International Organization,Not Applicable,Not Applicable,2009,0.887563462
World,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2009,1.963189238
World,,Not Applicable,Not Applicable,Not Applicable,2009,20.0
World,Social Bond,Not Applicable,Not Applicable,Not Applicable,2009,0.721791942
World,Social Bond,International Organization,Not Applicable,Not Applicable,2009,0.721791942
World,Social Bond,Not Applicable,Not Applicable,Not Applicable,2009,2.816990038
World,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,2009,0.052874803
Côte d'Ivoire,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2010,0.252174787
Finland,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2010,0.241508848
Luxembourg,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2010,0.305852661
Norway,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2010,0.132114809
Philippines,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2010,0.769075804
United Kingdom,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2010,0.01632749
United Kingdom,Social Bond,Not Applicable,Not Applicable,Not Applicable,2010,0.24903964
United States,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2010,1.151679188
World,Green Bonds,Not Applicable,Not Applicable,Not Applicable,2010,2.868733587
World,Green Bonds,International Organization,Not Applicable,Not Applicable,2010,2.736618778
World,Green Bonds,State owned entities,Not Applicable,Not Applicable,2010,0.132114809
